"100000","0","288", "高级偷袭"
"100000","0","289", "高级连击"
"100000","0","296", "高级必杀"
"100000","0","297", "高级幸运"
"100000","0","301", "高级敏捷"
"100000","0","302", "高级强力"
"100000","0","303", "高级防御"
"100000","0","307", "高级神佑复生"
"100000","0","329", "高级吸血"
"100000","0","333", "高级夜战"
"100000","0","286", "高级反击"
"100000","0","293", "高级再生"
"100000","0","305", "高级驱鬼"
"100000","0","304", "高级毒"
"100000","0","299", "高级招架"
"100000","0","4506", "力劈"

"100000","0","288", "高级偷袭"
"100000","0","289", "高级连击"
"100000","0","296", "高级必杀"
"100000","0","297", "高级幸运"
"100000","0","301", "高级敏捷"
"100000","0","302", "高级强力"
"100000","0","303", "高级防御"
"100000","0","307", "高级神佑复生"
"100000","0","329", "高级吸血"
"100000","0","333", "高级夜战"
"100000","0","286", "高级反击"
"100000","0","304", "高级毒"
"100000","0","299", "高级招架"
"100000","0","4506", "力劈"

"288","2","高级偷袭"
"290","2","高级飞行"
"293","2","高级再生"
"300","2","高级永恒"
"287","2","高级反震"
"292","2","高级感知"
"297","0","", "高级幸运"
"299","2","高级招架"
"301","2","高级敏捷"
"298","2","高级神迹"
"311","2","地狱烈火"
"316","2","高级法术连击"
"317","2","高级法术暴击"
"318","2","高级法术波动"
"308","2","高级魔之心"
"307","2","高级神佑复生"

"288","2","高级偷袭"
"287","2","高级反震"
"292","2","高级感知"
"297","0","", "高级幸运"
"299","2","高级招架"
"301","2","高级敏捷"
"298","2","高级神迹"
"311","2","地狱烈火"
"316","2","高级法术连击"
"317","2","高级法术暴击"
"308","2","高级魔之心"
"307","2","高级神佑复生"

"288","2","高级偷袭"
"297","0","", "高级幸运"
"301","2","高级敏捷"
"298","2","高级神迹"
"311","2","地狱烈火"
"316","2","高级法术连击"
"308","2","高级魔之心"
"307","2","高级神佑复生"

"288","2","高级偷袭"
"301","2","高级敏捷"
"298","2","高级神迹"
"311","2","地狱烈火"
"308","2","高级魔之心"
"307","2","高级神佑复生"